,home_team,away_team,season_type,season,week,game_date,start_time,game_id,stadium,roof,surface,condition,temperature,humidity,wind
152,PIT,CIN,REG,2025,11,2025-11-16,"11/16/25, 13:02:44",2025_11_CIN_PIT,Acrisure Stadium,outdoors,grass,Partly Cloudy ,46,50,NW 17
153,LV,DAL,REG,2025,11,2025-11-17,"11/17/25, 20:16:38",2025_11_DAL_LV,Allegiant Stadium,dome,grass,61 ,60,52,SE 8
154,PHI,DET,REG,2025,11,2025-11-16,"11/16/25, 20:22:47",2025_11_DET_PHI,Lincoln Financial Field,outdoors,grass,Clear ,45,43,NW 15
155,NYG,GB,REG,2025,11,2025-11-16,"11/16/25, 13:02:52",2025_11_GB_NYG,MetLife Stadium,outdoors,fieldturf,Mostly Cloudy ,55,31,W 17
156,TEN,HOU,REG,2025,11,2025-11-16,"11/16/25, 13:02:55",2025_11_HOU_TEN,Nissan Stadium,outdoors,grass,Sunny ,64,26,N 8
157,DEN,KC,REG,2025,11,2025-11-16,"11/16/25, 16:25:20",2025_11_KC_DEN,Empower Field at Mile High,outdoors,grass,Sunny ,70,23,N 6
158,JAX,LAC,REG,2025,11,2025-11-16,"11/16/25, 13:02:46",2025_11_LAC_JAX,TIAA Bank Stadium,outdoors,grass,,74,50,NW 9
159,NE,NYJ,REG,2025,11,2025-11-13,"11/13/25, 20:16:40",2025_11_NYJ_NE,Gillette Stadium,outdoors,fieldturf,Clear ,39,76,SE 9
160,LA,SEA,REG,2025,11,2025-11-16,"11/16/25, 16:05:30",2025_11_SEA_LA,SoFi Stadium,dome,matrixturf,Cloudy ,64,68,S 3
161,ARI,SF,REG,2025,11,2025-11-16,"11/16/25, 16:05:26",2025_11_SF_ARI,State Farm Stadium,closed,grass,Mostly Cloudy ,73,38,SW 10
162,BUF,TB,REG,2025,11,2025-11-16,"11/16/25, 13:02:32",2025_11_TB_BUF,New Era Field,outdoors,a_turf,Cloudy & windy ,38,50,NW 20
163,MIA,WAS,REG,2025,11,2025-11-16,"11/16/25, 09:34:49",2025_11_WAS_MIA,Hard Rock Stadium,outdoors,grass,None ,None,None,NE None
164,NO,ATL,REG,2025,12,2025-11-23,"11/23/25, 16:26:24",2025_12_ATL_NO,Mercedes-Benz Superdome,dome,sportturf,,75,45,NW 6
165,HOU,BUF,REG,2025,12,2025-11-20,"11/20/25, 20:16:04",2025_12_BUF_HOU,NRG Stadium,closed,astroturf,,76,83,S 10
166,SF,CAR,REG,2025,12,2025-11-24,"11/24/25, 20:15:58",2025_12_CAR_SF,Levi's Stadium,outdoors,grass,Sunny ,58,78,SE 3
167,LV,CLE,REG,2025,12,2025-11-23,"11/23/25, 16:05:21",2025_12_CLE_LV,Allegiant Stadium,dome,grass,,66,34,S 3
168,KC,IND,REG,2025,12,2025-11-23,"11/23/25, 13:02:46",2025_12_IND_KC,GEHA Field at Arrowhead Stadium,outdoors,grass,,46,93,SW 5
169,ARI,JAX,REG,2025,12,2025-11-23,"11/23/25, 16:05:54",2025_12_JAX_ARI,State Farm Stadium,closed,grass,None ,None,None,NE None
170,GB,MIN,REG,2025,12,2025-11-23,"11/23/25, 13:02:53",2025_12_MIN_GB,Lambeau Field,outdoors,grass,Cloudy ,43,60,W 10
171,CIN,NE,REG,2025,12,2025-11-23,"11/23/25, 13:02:44",2025_12_NE_CIN,Paycor Stadium,outdoors,fieldturf,Sunny ,54,61,NW 7
172,DET,NYG,REG,2025,12,2025-11-23,"11/23/25, 13:02:39",2025_12_NYG_DET,Ford Field,dome,fieldturf,Controlled Climate ,68,70,
173,BAL,NYJ,REG,2025,12,2025-11-23,"11/23/25, 13:02:37",2025_12_NYJ_BAL,M&T Bank Stadium,outdoors,grass,Cloudy ,54,69,SW 3
174,DAL,PHI,REG,2025,12,2025-11-23,"11/23/25, 16:26:23",2025_12_PHI_DAL,AT&T Stadium,closed,matrixturf,None ,None,None,NE None
